DESIGNATION,Female,Male
IR83894-B-B-46-4,IR70213-10-CPA4-2-2-2,IR62141-114-3-2-2-2(PSBRC80)
IR83944-B-B-16-4,IR62141-114-3-2-2-2(PSBRC80),IR72176-140-1-2-2-3
IR87638-9-3-2-4,DHAGADDESHI,IRRI180
IR87656-22-1-1-3,IR66232-75-5-1-2,IR81454-B-B-172
IR87693-36-1-5-3,IR77080-B-4-2-2,IR78914-B-22-B-B-B
IR87724-40-1-2-2,IR77298-14-1-2-10,IR81454-B-B-172
IR87726-1-1-1-2,IR77298-5-6-11,IR77298-12-7-29
IR87741-29-1-2-1,IR06L142,IR81039-B-173-U3-3
IR87741-29-1-2-2,IR06L142,IR81039-B-173-U3-3
IR87744-36-2-4-2,IR06L142,IR81428-B-B-114
IR87747-16-3-1-2,IR06L164,IR71525-19-1-1
IR87747-31-1-2-3,IR06L164,IR71525-19-1-1
IR87749-10-1-1-4,IR06L164,IR78878-53-2-2-2
IR87749-11-2-1-1,IR06L164,IR78878-53-2-2-2
IR87749-11-2-1-3,IR06L164,IR78878-53-2-2-2
IR87751-20-4-1-1,IR06L164,IR78933-B-24-B-B-1
IR11L252,IR06L164,IR78933-B-24-B-B-1
IR11L114,IR06L164,IR78933-B-24-B-B-1
IR87753-11-3-3-4,IR06L164,IR78985-B-6-B-B-B
IR87754-40-2-2-1,IR06L164,IR79906-B-192-2-3
IR87754-42-1-3-3,IR06L164,IR79906-B-192-2-3
IR87754-42-2-2-1,IR06L164,IR79906-B-192-2-3
IR87758-21-3-1-3,IR06L164,IR07L346
IR87759-10-1-3-4,IR06L164,IR81421-B-B-66
IR11L243,IR06L164,IR81421-B-B-66
IR11L145,IR06L164,IR81428-B-B-114
IR87760-17-1-1-4,IR06L164,IR81428-B-B-114
IR87761-46-3-1-2,IR06L164,IR81454-B-B-172
IR87761-52-1-2-2,IR06L164,IR81454-B-B-172
IR87761-55-1-1-4,IR06L164,IR81454-B-B-172
IR87761-55-3-1-1,IR06L164,IR81454-B-B-172
IR87761-66-2-1-2,IR06L164,IR81454-B-B-172
IR13L351,IR08L217,IR08L183
IR13L358,IR08L217,IR08L183
IR13L150,IR08L217,IR08L183
IR13L153,IR08L217,IR08L183
IR92521-26-4-1-3,IR08L217,IR08L183
IR92521-32-1-1-1,IR08L217,IR08L183
IR13L365,IR08L217,IR08L183
IR92521-5-3-1-2,IR08L217,IR08L183
IR13L357,IR08L217,IR08L183
IR13L258,IR08L217,IR08L183
IR13L171,IR08L217,IR08L183
IR92521-6-5-1-3,IR08L217,IR08L183
IR92521-90-1-1-1,IR08L217,IR08L183
IR92522-65-6-2-1,IR08L183,MTU1010
IR13L183,IR08L183,MTU1010
IR92540-43-2-3-1,IR08L118,MTU1010
IR13L292,THADOKKHAM1,IR77298-14-1-2-10
IR92546-33-3-1-2,THADOKKHAM1,IR08L119
IR87759-6-1-4-3,IR06L164,IR81421-B-B-66
IR87760-15-2-2-4,IR06L164,IR81428-B-B-114
IR77298-14-1-2,IR64(WH)_ADAYSEL,IR64
IR66229-243-6-2,PUSA615-140-10-1,IR54781-41-1-1
IR81396-B-B-10-1,IR55423-01(NSICRC9),IR73571-3B-14-1
IR72667-16-1-B-B-3-47-10,WS91_ABHAYA,IR43070-UBN511-2-1-1-1
IR72667-16-1-B-B-3-1-11,WS91_ABHAYA,IR43070-UBN511-2-1-1-1
IR72667-16-1-B-B-3-1-5,WS91_ABHAYA,IR43070-UBN511-2-1-1-1
THADOKKHAM5,RD10,B1014
IR72667-16-1-B-B-3-47-5,WS91_ABHAYA,IR43070-UBN511-2-1-1-1
IR72667-16-1-B-B-3-1-3,WS91_ABHAYA,IR43070-UBN511-2-1-1-1
IR84129-330-B,IRRI143,IR01A163
IR72667-16-1-B-B-3-1-7,WS91_ABHAYA,IR43070-UBN511-2-1-1-1
IR72667-16-1-B-B-3-47-20,WS91_ABHAYA,IR43070-UBN511-2-1-1-1
IR5A204,0,0
IR05A239,IR73014-59-2-2-2,IR67406-6-3-2-3
IR05A229,IR73005-135-3-3-2,IR71730-51-2
IR05A232,IR73008-138-2-2-2,IR00A103
IR05N346,IR71700-247-1-1-2,JANAKI
IR81187-B-B-39-1,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR82296-B-B-59-4,PRIMAVERA_IR61920-3B-22-2-1(NSICRC106),IR64
IR82293-B-B-108-3,IR75000-69-2-1-2_IR55423-01(NSICRC9),IR64
IR84129-51-B,IRRI143,IR01A163
IR84859-B-42-1-3,IR70181-3-PMI1-UBN1-B-1-1,IRRI163
IR84872-B-40-2-3,IR70215-70-CPA3-4-1-3,IRRI163
IR84852-B-12-1-3,IR70181-32-PMI1-1-5-1,IRRI163
IR84850-B-27-1-3,IR70181-32-PMI1-1-5-1,IR71700-247-1-1
IR84851-B-36-2-1,IR70181-32-PMI1-1-5-1,IR72176-140-1-2
IR84850-B-27-1-1,IR70181-32-PMI1-1-5-1,IR71700-247-1-1
IR84850-B-6-1-1,IR70181-32-PMI1-1-5-1,IR71700-247-1-1
IR03A390,IR64,W574
IR70200-14-CPA3-1-B-3-1,IR69246,IR54081-CPA3-B-1-3
DSL111-4,0,0
FEDEARROZ50_SANHUANGZHANNO2__IRRI123_NSICRC158,FEDEARROZ50_SANHUANGZHANNO2,IRRI123_NSICRC158
IR1561*4_OBARTHII__IR64,IR1561_OBARTHII,IR64
IR77298-14-1-2-10_SANHUANGZHANNO2__IR45427-2B-2-2B-1-1_NSICRC158,IR77298-14-1-2-10_SANHUANGZHANNO2,IR45427-2B-2-2B-1-1_NSICRC158
IR91145-AC26_IRRI123__OM4498,IR91145-AC26_IRRI123,OM4498
IRRI154_IR11L101__IRRI154_RATHUHEENATI,IRRI154_IR11L101,IRRI154_RATHUHEENATI
P2057-F4-88-3-1_IRAT120__SUAKOKO,P2057-F4-88-3-1_IRAT120,SUAKOKO
SANHUANGZHANNO2_IR4630-22-2-5-1-3__FEDEARROZ50_NSICRC158,SANHUANGZHANNO2_IR4630-22-2-5-1-3,FEDEARROZ50_NSICRC158
FEDEARROZ50_SANHUANGZHANNO2,FEDEARROZ50,SANHUANGZHANNO2
IR1561_OBARTHII,IR1561,OBARTHII
IR77298-14-1-2-10_SANHUANGZHANNO2,IR77298-14-1-2-10,SANHUANGZHANNO2
IR91145-AC26_IRRI123,IR91145-AC26,IRRI123
IRRI154_IR11L101,IRRI154,IR11L101
P2057-F4-88-3-1_IRAT120,P2057-F4-88-3-1,IRAT120
SANHUANGZHANNO2_IR4630-22-2-5-1-3,SANHUANGZHANNO2,IR4630-22-2-5-1-3
IRRI123_NSICRC158,IRRI123,NSICRC158
IR45427-2B-2-2B-1-1_NSICRC158,IR45427-2B-2-2B-1-1,NSICRC158
IRRI154_RATHUHEENATI,IRRI154,RATHUHEENATI
FEDEARROZ50_NSICRC158,FEDEARROZ50,NSICRC158
A69-1_IR73718-23-2-1-3,A69-1,IR73718-23-2-1-3
ABHAYA_IRRI119,ABHAYA,IRRI119
BKNFR76106-16-0-1_IR9764-45-2-2,BKNFR76106-16-0-1,IR9764-45-2-2
BRRIDHAN55_IR58443-6B-10-3,BRRIDHAN55,IR58443-6B-10-3
C53_JASMINE85,C53,JASMINE85
CT6241-17-1-5-1_KDML'86G24-4-19,CT6241-17-1-5-1,KDML'86G24-4-19
D297A_IR68897B,D297A,IR68897B
DHULA_IR28878-R-R-27-3-1,DHULA,IR28878-R-R-27-3-1
DULAR(ACC32561)_IRRI148,DULAR(ACC32561),IRRI148
G46A_IR68897B,G46A,IR68897B
HHZ5-DT20-DT2-DT1_IR08L216,HHZ5-DT20-DT2-DT1,IR08L216
HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2,IR09L337
HHZ8-SAL6-SAL3-Y2_IR09L342,HHZ8-SAL6-SAL3-Y2,IR09L342
IR108073_IR105139,IR108073,IR105139
IR1529-ECIA_IR65564-22-2-3,IR1529-ECIA,IR65564-22-2-3
IR1561-228-1-2_IR1737,IR1561-228-1-2,IR1737
IR18349-53-1-3-1-3_IR19661-131-3-1-3,IR18349-53-1-3-1-3,IR19661-131-3-1-3
IR19660-73-4_IR2415-90-4-3-2,IR19660-73-4,IR2415-90-4-3-2
IR19661-9-2-3-3_IR15795-199-3-3,IR19661-9-2-3-3,IR15795-199-3-3
IR2153-14-1-6-2_IR28,IR2153-14-1-6-2,IR28
IR43524-55-1-3-2_IR52555-UBN3-2-1,IR43524-55-1-3-2,IR52555-UBN3-2-1
IR43524-55-1-3-2_IR54119-SRN4-B-1-1,IR43524-55-1-3-2,IR54119-SRN4-B-1-1
IR43524-55-1-3-2_IR57514-SRN299-2-1-1,IR43524-55-1-3-2,IR57514-SRN299-2-1-1
IR43524-55-1-3-2_IR57519-PMI5-B-2-2,IR43524-55-1-3-2,IR57519-PMI5-B-2-2
IR43581-57-3-3-6_IR26940-20-3-3-3-1,IR43581-57-3-3-6,IR26940-20-3-3-3-1
IR43581-57-3-3-6_KHAODAWKMALI105,IR43581-57-3-3-6,KHAODAWKMALI105
IR4568-86-1-3-2_IR26702-111-1,IR4568-86-1-3-2,IR26702-111-1
IR46828A_IR29744-94-3-2-2-2-3,IR46828A,IR29744-94-3-2-2-2-3
IR49746-UBN-33-B-3-1_IR51052-5-2-1-1-2,IR49746-UBN-33-B-3-1,IR51052-5-2-1-1-2
IR54119-SRN4-B-1-1_KHAODAWKMALI105,IR54119-SRN4-B-1-1,KHAODAWKMALI105
IR55423-01(NSICRC9)_IR61920-3B-22-2-1(NSICRC106,IR55423-01(NSICRC9),IR61920-3B-22-2-1(NSICRC106)
IR57514-PMI5-B-1-2_IRRI119,IR57514-PMI5-B-1-2,IRRI119
IR57519-PMI5-B-2-2_IR52555-UBN3-2-1,IR57519-PMI5-B-2-2,IR52555-UBN3-2-1
IR57519-PMI5-B-2-2_IR57514-SRN299-2-1-1,IR57519-PMI5-B-2-2,IR57514-SRN299-2-1-1
IR61033-82-3-2-2_IR60243-CPA7-1-1-1-1,IR61033-82-3-2-2,IR60243-CPA7-1-1-1-1
IR61920-3B-22-2-1(NSICRC106_IR55423-01(NSICRC9),IR61920-3B-22-2-1(NSICRC106,IR55423-01(NSICRC9)
IR61920-3B-22-2-1(NSICRC106_IR11L101,IR61920-3B-22-2-1(NSICRC106,IR11L101
IR61920-3B-22-2-1(NSICRC106_UPLRI7,IR61920-3B-22-2-1(NSICRC106,UPLRI7
IR62243-41-1-3-3_IR64680-81-2-2-1-3,IR62243-41-1-3-3,IR64680-81-2-2-1-3
IR62829A_IR62856-15-3-1-1-7-5-10-3,IR62829A,IR62856-15-3-1-1-7-5-10-3
IR64(WH)_ADAYSEL,IR64,ADAYSEL
IR64_ADAYSEL,IR64,ADAYSEL
IR65469-161-2-2-3-2-2_IR65459-73-1-2-2-3-2,IR65469-161-2-2-3-2-2,IR65459-73-1-2-2-3-2
IR66165-24-6-3-2_IR68077-7-2-3-2-1,IR66165-24-6-3-2,IR68077-7-2-3-2-1
IR67966-44-2-3_IR90265-B-551-1,IR67966-44-2-3,IR90265-B-551-1
IR68059-66-2-3-3-3_IR69726-116-1-3(MATATAG1),IR68059-66-2-3-3-3,IR69726-116-1-3(MATATAG1)
IR68885A_IR68950-8-1-10-4-7-6-3,IR68885A,IR68950-8-1-10-4-7-6-3
IR69502-6-SRN3-UBN1-B-10-2_IRRI119,IR69502-6-SRN3-UBN1-B-10-2,IRRI119
IR69713-43-1-3-2-3_IR59682-132-1-1-2(PSBRC52),IR69713-43-1-3-2-3,IR59682-132-1-1-2(PSBRC52)
IR70179-1-1-1-1_IR73885-1-4-3-2-1-6,IR70179-1-1-1-1,IR73885-1-4-3-2-1-6
IR70179-1-1-1-1_IR73887-1-8-2-1,IR70179-1-1-1-1,IR73887-1-8-2-1
IR70183-74-1-1-3-B_IR73885-1-4-3-2-1-6,IR70183-74-1-1-3-B,IR73885-1-4-3-2-1-6
IR70213-9-CPA12-UBN2-1-3-1_IR71700-247-1-1-2,IR70213-9-CPA12-UBN2-1-3-1,IR71700-247-1-1-2
IR72_IRKESAR,IR72,IRKESAR
IR72158-11-5-2-3_IR73707-45-3-2-3,IR72158-11-5-2-3,IR73707-45-3-2-3
IR72593-B-3-2-3-3_IR55423-01(NSICRC9),IR72593-B-3-2-3-3,IR55423-01(NSICRC9)
IR72593-B-3-2-3-3_IR11L101,IR72593-B-3-2-3-3,IR11L101
IR73008-138-2-2-2_IR68544-29-2-1-3-1-2,IR73008-138-2-2-2,IR68544-29-2-1-3-1-2
IR73571-3B-14-1_UPLRI7,IR73571-3B-14-1,UPLRI7
IR73711-130-1-3-1_IR77782-B-10-1-2,IR73711-130-1-3-1,IR77782-B-10-1-2
IR73718-1-2-1-3_IR72,IR73718-1-2-1-3,IR72
IR73885-1-4-3-2-1-6_IR70479-45-2-3,IR73885-1-4-3-2-1-6,IR70479-45-2-3
IR74052-297-2-1_IR71700-247-1-1-2,IR74052-297-2-1,IR71700-247-1-1-2
IR74052-297-2-1_IR72165-63-2-3-3,IR74052-297-2-1,IR72165-63-2-3-3
IR74599-34-2-1-3-2_PSBRC82,IR74599-34-2-1-3-2,PSBRC82
IR74600-38-2-3-3-2_IR02N200,IR74600-38-2-3-3-2,IR02N200
IR75000-69-2-1-2_IR55423-01(NSICRC9),IR75000-69-2-1-2,IR55423-01(NSICRC9)
IR75000-69-2-1-2_IR74371-70-1-1,IR75000-69-2-1-2,IR74371-70-1-1
IR75862-206-2-8-3-B-B-B_IRRI123,IR75862-206-2-8-3-B-B-B,IRRI123
IR77298-14-1-2-10_Q74,IR77298-14-1-2-10,Q74
IR77429-38-69-B-6-1-1_NSICRC138,IR77429-38-69-B-6-1-1,NSICRC138
IR80410-B-197-4_IRRI149,IR80410-B-197-4,IRRI149
IR91648-B-1-B-3-1_IRBB23,IR91648-B-1-B-3-1,IRBB23
IR01A111_MTU1010,IR01A111,MTU1010
IR01N106_IR01N194,IR01N106,IR01N194
IR01N111_IRRI164,IR01N111,IRRI164
IR01N149_IR64680-81-2-2-1-3,IR01N149,IR64680-81-2-2-1-3
IR04A115_PSBRC18(IR51672-62-2-1-1-2-3),IR04A115,PSBRC18(IR51672-62-2-1-1-2-3)
IR04A429_IR68144-2B-2-2-3-1-166,IR04A429,IR68144-2B-2-2-3-1-166
IR04N114_IR08L216,IR04N114,IR08L216
IR04N155_IR09N534,IR04N155,IR09N534
IR05N173_IRRI143,IR05N173,IRRI143
IR05N204_IR01W102,IR05N204,IR01W102
IR05N341_IR64680-81-2-2-1-3,IR05N341,IR64680-81-2-2-1-3
IR05N412_IR09L336,IR05N412,IR09L336
IR05N412_IRRI154,IR05N412,IRRI154
IR05N419_IR09L204,IR05N419,IR09L204
IR06A150_IRRI154,IR06A150,IRRI154
IR06M146_IR72102-4-159-1-3-3-3(NSICRC112),IR06M146,IR72102-4-159-1-3-3-3(NSICRC112)
IR06N155_IR09L120,IR06N155,IR09L120
IR06N209_IRRI123,IR06N209,IRRI123
IR06N209_IRRI154,IR06N209,IRRI154
IR06N234_IRRI154,IR06N234,IRRI154
IR06N234_NSICRC158,IR06N234,NSICRC158
IR07F289_IR44004-74-3-2-3-3-3,IR07F289,IR44004-74-3-2-3-3-3
IR07F290_IR67495-NDR2-1-1-1-1,IR07F290,IR67495-NDR2-1-1-1-1
IR08A172_IRRI154,IR08A172,IRRI154
IR08L152_IR11L269,IR08L152,IR11L269
IR08L181_BULUGENDJAH,IR08L181,BULUGENDJAH
IR08N121_IR90266-B-228-1,IR08N121,IR90266-B-228-1
IR08N136_IRRI154,IR08N136,IRRI154
IR09A136_IR10M108,IR09A136,IR10M108
IR09A136_IRRI123,IR09A136,IRRI123
IR09A136_IRRI154,IR09A136,IRRI154
IR09F171_IR09F146,IR09F171,IR09F146
IR09F437_IR06F168,IR09F437,IR06F168
IR09L303_BENONG130,IR09L303,BENONG130
IR09L303_BUNGAMEHU,IR09L303,BUNGAMEHU
IR09L337_B1050D-KN-1-1-1-1-3,IR09L337,B1050D-KN-1-1-1-1-3
IR09N522_IR09L342,IR09N522,IR09L342
IR09N538_ABHAYA,IR09N538,ABHAYA
IR09N538_IR93312-30-101-20-3-66-6,IR09N538,IR93312-30-101-20-3-66-6
IR09N538_IR94225-B-82-B,IR09N538,IR94225-B-82-B
IR09N538_TADUKAN,IR09N538,TADUKAN
IR10M101_IR73006-12-3-3-2,IR10M101,IR73006-12-3-3-2
IR12F397_IR12F385,IR12F397,IR12F385
IR12F547_IR12F384,IR12F547,IR12F384
IRRI119_CN846-6-6,IRRI119,CN846-6-6
IRRI132_IRRI128,IRRI132,IRRI128
IRRI143_IR73718-23-2-1-3,IRRI143,IR73718-23-2-1-3
IRRI143_NSICRC158,IRRI143,NSICRC158
IRRI145_PSBRC18(IR51672-62-2-1-1-2-3),IRRI145,PSBRC18(IR51672-62-2-1-1-2-3)
IRRI151_PSBRC10(IR50404-57-2-2-3),IRRI151,PSBRC10(IR50404-57-2-2-3)
IRRI154_IR94225-B-82-B,IRRI154,IR94225-B-82-B
IRRI154_IR96322-34-223-B,IRRI154,IR96322-34-223-B
IRRI154_IR97153-B-123-B,IRRI154,IR97153-B-123-B
IRRI154_MAZHAN(RED),IRRI154,MAZHAN(RED)
KALARATA1-24_KHO,KALARATA1-24,KHO
MTU1115_IR65482-4-136-2-2-B,MTU1115,IR65482-4-136-2-2-B
PR30245-10-414_IR09L179,PR30245-10-414,IR09L179
PR35805-B-9-2-3-2-3_IR09L337,PR35805-B-9-2-3-2-3,IR09L337
PR37285-17-31-12-1-21-1-2_IRRI123,PR37285-17-31-12-1-21-1-2,IRRI123
PR37866-1B-1-4_IRRI123,PR37866-1B-1-4,IRRI123
PR37866-1B-1-4_IRRI154,PR37866-1B-1-4,IRRI154
PR37866-1B-1-4_NSICRC158,PR37866-1B-1-4,NSICRC158
PR40078-B-12-2_IR55179-3B-11-3,PR40078-B-12-2,IR55179-3B-11-3
PRIMAVERA_IR61920-3B-22-2-1(NSICRC106),PRIMAVERA,IR61920-3B-22-2-1(NSICRC106)
PRIMAVERA_IRRI128,PRIMAVERA,IRRI128
PSBRC82_IR10F379,PSBRC82,IR10F379
SARO5_IR09L342,SARO5,IR09L342
SPTLR80146-PRE7-1-2-2_IR43070-UBN501-2-2-2-1,SPTLR80146-PRE7-1-2-2,IR43070-UBN501-2-2-2-1
UPLRI7_IR61920-3B-22-2-1(NSICRC106),UPLRI7,IR61920-3B-22-2-1(NSICRC106)
UPLRI7_IRRI128,UPLRI7,IRRI128
WS91_ABHAYA,WS91,ABHAYA
IRRI154_UPLRI7__IR87707-446-B-B-B_KALIAUS,IRRI154_UPLRI7,IR87707-446-B-B-B_KALIAUS
IR77298-14-1-2-10_IR4630-22-2-5-1-3__IR45427-2B-2-2B-1-1_IR07F287,IR77298-14-1-2-10_IR4630-22-2-5-1-3,IR45427-2B-2-2B-1-1_IR07F287
HHZ8-SAL6-SAL3-Y2_IR09L342__IRBB60(IR72920-1-44-4)_IR05N419,HHZ8-SAL6-SAL3-Y2_IR09L342,IRBB60(IR72920-1-44-4)_IR05N419
IRRI123_IR4630-22-2-5-1-3__FEDEARROZ50_IR07F287,IRRI123_IR4630-22-2-5-1-3,FEDEARROZ50_IR07F287
IR58_4_IR69428-6-1-1-3-3_IR69807-13-2-1__IR58,IR58_4_IR69428-6-1-1-3-3_IR69807-13-2-1,IR58
IRRI123_IR45427-2B-2-2B-1-1__IR77298-14-1-2-10_IR07F287,IRRI123_IR45427-2B-2-2B-1-1,IR77298-14-1-2-10_IR07F287
SARO5_IR09L342__IRBB60(IR72920-1-44-4)_IR09N522,SARO5_IR09L342,IRBB60(IR72920-1-44-4)_IR09N522
IRRI154_UPLRI7,IRRI154,UPLRI7
IR77298-14-1-2-10_IR4630-22-2-5-1-3,IR77298-14-1-2-10,IR4630-22-2-5-1-3
IRRI123_IR4630-22-2-5-1-3,IRRI123,IR4630-22-2-5-1-3
IR69428-6-1-1-3-3_IR69807-13-2-1,IR69428-6-1-1-3-3,IR69807-13-2-1
IRRI123_IR45427-2B-2-2B-1-1,IRRI123,IR45427-2B-2-2B-1-1
IR87707-446-B-B-B_KALIAUS,IR87707-446-B-B-B,KALIAUS
IR45427-2B-2-2B-1-1_IR07F287,IR45427-2B-2-2B-1-1,IR07F287
IRBB60(IR72920-1-44-4)_IR05N419,IRBB60(IR72920-1-44-4),IR05N419
FEDEARROZ50_IR07F287,FEDEARROZ50,IR07F287
IR77298-14-1-2-10_IR07F287,IR77298-14-1-2-10,IR07F287
IRBB60(IR72920-1-44-4)_IR09N522,IRBB60(IR72920-1-44-4),IR09N522
A69-1_IR02A201,A69-1,IR02A201
IR50404_NONABOKRA,IR50404,NONABOKRA
ABHAYA_IR10N108,ABHAYA,IR10N108
HHZ8-SAL6-SAL3-Y2_IR09L303,HHZ8-SAL6-SAL3-Y2,IR09L303
ABHAYA_SARO5,ABHAYA,SARO5
KALIAUS_KALINGAIII,KALIAUS,KALINGAIII
IR5657-33-2-1_IR2061-465-1-5-5,IR5657-33-2-1,IR2061-465-1-5-5
IR20992-7-2-2-2-2-3_IR21567-9-2-2-2-1,IR20992-7-2-2-2-2-3,IR21567-9-2-2-2-1
IR67966-44-2-3_IR87707-446-B-B-B,IR67966-44-2-3,IR87707-446-B-B-B
IR43487_IR43487-11-2-3,IR43487,IR43487-11-2-3
IR1561-228-3_UTRIRAJAPAN(ACC16684),IR1561-228-3,UTRIRAJAPAN(ACC16684)
IR84984-83-15-18-B-B_Q74,IR84984-83-15-18-B-B,Q74
IR1561-149-1_IR1737,IR1561-149-1,IR1737
IR81896-B-B-195_IR05F102,IR81896-B-B-195,IR05F102
RATHUHEENATI_SARO5,RATHUHEENATI,SARO5
PR37139-3-1-3-1-2-1_IR09L303,PR37139-3-1-3-1-2-1,IR09L303
ABHAYA_HHZ8-SAL6-SAL3-Y2,ABHAYA,HHZ8-SAL6-SAL3-Y2
IRBB60(IR72920-1-44-4)_SARO5,IRBB60(IR72920-1-44-4),SARO5
IR10N108_IR09L337,IR10N108,IR09L337
IR09L179_IR88288-10-4-1-4,IR09L179,IR88288-10-4-1-4
IR09L336_B1050D-KN-1-1-1-1-3,IR09L336,B1050D-KN-1-1-1-1-3
ABHAYA_HHZ5-DT20-DT2-DT1,ABHAYA,HHZ5-DT20-DT2-DT1
IR09N538_IRBB60(IR72920-1-44-4),IR09N538,IRBB60(IR72920-1-44-4)
IR09N538_IR11L101,IR09N538,IR11L101
IR09N538_IR94226-B-177-B,IR09N538,IR94226-B-177-B
IR09N538_RATHUHEENATI,IR09N538,RATHUHEENATI
IRRI154_IR91648-B-32-B,IRRI154,IR91648-B-32-B
IRRI154_IR94226-B-177,IRRI154,IR94226-B-177
IRRI154_IR97152-B-280-B,IRRI154,IR97152-B-280-B
PR37866-1B-1-4_IR08L216,PR37866-1B-1-4,IR08L216
IR06N119_IR09L336,IR06N119,IR09L336
BR10(BR51-46-5)_BR23,BR10(BR51-46-5),BR23
IR72903-99-2-3-2_IR73885-1-4-3-2-1-6,IR72903-99-2-3-2,IR73885-1-4-3-2-1-6
63-83,560,0
IR77082-B-35-1-1,0,IR72869-5-2-3-1
IR66946-3R-178-1-1,0,0
TOX494-5,63-83,IGUAPECATETO
TOX494,63-83,IGUAPECATETO
BG379-5,73-797,PTB33
KALINGAIII,AC540,RATNA(ACC12890)
IR10154-20-3-3,ADT4,IR747-B2-6-3
IR73571-3B-14-1,AGAMIMI,IR68003-45-2-2
IR65536-10-5,AKIHIKARI,JHUMPADDY7
IR08N120,ANSANBYEO,IR04N114
IR08N121,ANSANBYEO,IR04N114
PR35786-B-3-1-4,AR32-19-3-3,PR33214
IR94225-B-82-B,AUS276,IR64
IR94226-B-177,AUS276,MTU1010
IR94226-B-177-B,AUS276,MTU1010
IR78914-B-22-B-B-B,B3632F-TB-1,IR47701-6-B-1
IR78985-B-6-B-B-B,B3632F-TB-1,IRGA369-28-2-4-1F-5
P36,B4513A1-25-1-2-2,HSIAOTSICHUNG
IR127-2-2,B5580A1-15,SIGADIS
IR238-28-3-2,B5580A1-15,NANHNGMONS4
IR154-61-1-1,B5580A1-15,TAICHUNGNATIVE1
B2997C-TB-60-3-3,B57C-MD-10-2,BPI76(ACC39)
B581A6,B57-10966,TAINANIKUNO487
IR659-10-8-3,B575A1-57-3-6,TAICHUNGNATIVE1
IR78933-B-24-B-B-1,B6144F-MR-6,IRGA369-28-2-4-1F-5
IR75502-61-1-1-B,B6144F-MR-6-0-0,IR55423-01(NSICRC9)
BRC12-4-2-2,BADSHABHOG(ACC28543),IR20
CR70-80-2,BAOK,KALAMKATI
IR85785-151-1,BASMATI334,SWARNA
IR520-1-26,BASMATI370,TAICHUNGNATIVE1
BASMATI385,BASMATI370,TAICHUNGNATIVE1
BG367-7,BG280-112,PTB33
IR7149-5-3,BG34-8,IR28
IR72158-11-5-2-3,BG90-2,IR67962-84-2-2-2
IR72158-116-6,BG90-2,IR67962-84-2-2-2
IR72158-16-3-3,BG90-2,IR67962-84-2-2-2
IR72158-16-3-3-1,BG90-2,IR67962-84-2-2-2
IR72967-12-2-3,BG90-2,IR65564-44-2-3
IR01N106,BG90-2,IR66738-118-1-2
IR72158-68-6-3,BG90-2,IR67962-84-2-2-2
IR72969-143-5-3-6-2,BG90-2,IR66159-164-5-3-5
IR01A154,BG90-2,IR69734-38-3-3
AT401,BG94-1,POKKALI
BR29,BG90-2,BR10(BR51-46-5)
SPT7149-429-3,BKN6624-46-2,LEUANGYAI148
SR4084-5-4-6,BL7,NONGBAEK
IR66700-3-3-3-4-2,BLB14210-4-10,IR24
B6616A4-22-BK-5-4,BLUEBELLE,BELLEPATNADAWN
LEBONNET,BLUEBELLE,BELLEPATNADAWN
SIGADIS,BLUEBONNET,BENONG
PR36828-38-1-1,BPIRI10,PUGOT
IR07F290,BR11,IR40931-33-1-3-2
BR523-3-1,BR4,HABIGANJAMANII
PANVEL2,BR4-10,IR8
BR28,BR6,PURBACHI
PR35805-B-9-2-3-2-3,BURDAGOL(A),IR74286-55-2-3-2-3
BR24,C22,IR9752-136-2
B981,C4-63GB,ARIAS
P321,CANILLA,BLUEBONNET50
IR13168-143-1,CAUVERY(IET355),IR36
IR45427-2B-2-2B-1-1,CHERIVIRUPPU,IR10205-37-1-3
IR09F436,CIHERANG,IRRI149
CAIAPO,CNAX104B-18PY-2B,PEROLA
IR67440-NDR5-1-1-1-1,CNM539,IR53479-B-45-3-2-3
TKM6,CO18,GEB24
COL1XM312A-74-2-8-8,COLOMBIA1,M312A-74-2-8-8
IRAT216,COLOMBIA1,M312A-74-2-8-8
IDSA6(IRAT216),COLOMBIA1,M312A-74-2-8-8
IR07F291,CR1009,IR49830-7-1-2-3
MR84,CR261-7039-236,RU505-64-3-1-2-1
CR94-13,CR55-35,IR8
CR1002,CR70-80-2,PANKAIJ
IR27205-87-2,CRM8-5710-8-3,NEWSABARMATI
IR65185-3B-8-3-2(PSBRC84),CSR10,TCCP266-B-B-B-10-3-1
TAICHUNGNATIVE1,DEEGEOWOOGEN,TSAIYUANCHUNG
IAC165,DOURADOPRECOCE,IAC1246
IAC25,DOURADOPRECOSE,IAC1246
IR115856,DULAR,KALIAUS
IR115858,DULAR,KALINGAIII
IR253-4-1-2-1(RD2),GAMPAI30-12-15,TAICHUNGNATIVE1
RP5,GEB24,TAICHUNGNATIVE1
IR38699-49-3-1-2,GEB24,IR13146-179
H501,GEB24,VELLAIILLANKALAYAN
OR57-21,HEMA,BJ1
HHZ5-DT20-DT2-DT1,HUANG-HUA-ZHAN,OM1723
HHZ8-SAL6-SAL3-Y2,HUANG-HUA-ZHAN,PHALGUNA
IAC47,IAC1246,IAC1391
