S.No.,Year,Season,Treatment,Design,Study_Name,Plot_No,Rep,Entry_No,Block,Entry-Check,YKGH,Row,Col
8955,2010,DS,Stress,Alpha-Lattice,L10DS-17,52,1,16,11,Entry,2805.7,,
8956,2010,DS,Stress,Alpha-Lattice,L10DS-17,160,2,16,15,Entry,2462.8,,
8957,2010,DS,Stress,Alpha-Lattice,L10DS-17,175,3,16,1,Entry,1850,,
8703,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,5,1,17,1,Entry,5368.2,,
8704,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,99,2,17,3,Entry,5643.6,,
8705,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,236,3,17,14,Entry,7257.7,,
8958,2010,DS,Stress,Alpha-Lattice,L10DS-17,15,1,17,3,Entry,2529.6,,
8959,2010,DS,Stress,Alpha-Lattice,L10DS-17,142,2,17,12,Entry,3124.5,,
8960,2010,DS,Stress,Alpha-Lattice,L10DS-17,187,3,17,4,Entry,3217.5,,
9426,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,42,1,8,7,Entry,6293.5,,
9427,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,54,2,8,1,Entry,5765.6,,
9428,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,119,3,8,4,Entry,5135.7,,
9570,2010,WS,Stress,Alpha-Lattice,L10WS-12,33,1,8,6,Entry,3088.2,,
9571,2010,WS,Stress,Alpha-Lattice,L10WS-12,62,2,8,3,Entry,3441.2,,
9572,2010,WS,Stress,Alpha-Lattice,L10WS-12,119,3,8,4,Entry,3147.1,,
10068,2011,DS,Stress,Alpha-Lattice,L11DS-15,9,1,6,2,Entry,2598.1,,
10069,2011,DS,Stress,Alpha-Lattice,L11DS-15,69,2,6,4,Entry,2002.1,,
10070,2011,DS,Stress,Alpha-Lattice,L11DS-15,117,3,6,4,Entry,926.4,,
10839,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,67,1,5,14,Entry,2337.33,,
10840,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,123,2,5,10,Entry,2086.5,,
10841,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,152,3,5,1,Entry,2412.67,,
11064,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,61,1,5,13,Entry,6086.2,,
11065,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,246,2,5,22,Entry,6032.8,,
11066,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,362,3,5,17,Entry,5941.9,,
11484,2012,DS,Stress,Alpha-Lattice,L12DS-13,30,1,5,6,Entry,1589.5,,
11485,2012,DS,Stress,Alpha-Lattice,L12DS-13,259,2,5,24,Entry,1046.1,,
11486,2012,DS,Stress,Alpha-Lattice,L12DS-13,303,3,5,5,Entry,477.7,,
13206,2013,DS,Stress,Augmented-RCBD,L13DS-14B,73,1,4,3,Entry,1973.7,,
8706,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,39,1,18,8,Entry,6796.9,,
8707,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,161,2,18,16,Entry,6180,,
8708,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,248,3,18,16,Entry,5703.8,,
8961,2010,DS,Stress,Alpha-Lattice,L10DS-17,46,1,18,10,Entry,1870,,
8962,2010,DS,Stress,Alpha-Lattice,L10DS-17,116,2,18,7,Entry,2359.1,,
8963,2010,DS,Stress,Alpha-Lattice,L10DS-17,246,3,18,16,Entry,2468.4,,
8709,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,23,1,19,5,Entry,5319.4,,
8710,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,130,2,19,9,Entry,4668.9,,
8711,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,192,3,19,5,Entry,5680.6,,
8964,2010,DS,Stress,Alpha-Lattice,L10DS-17,16,1,19,4,Entry,3315.6,,
8965,2010,DS,Stress,Alpha-Lattice,L10DS-17,112,2,19,6,Entry,2709.8,,
8966,2010,DS,Stress,Alpha-Lattice,L10DS-17,185,3,19,3,Entry,2355.5,,
9468,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,13,1,22,3,Entry,6333.3,,
9469,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,76,2,22,5,Entry,5870.1,,
9470,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,140,3,22,8,Entry,6441.9,,
9612,2010,WS,Stress,Alpha-Lattice,L10WS-12,31,1,22,6,Entry,3294.1,,
9613,2010,WS,Stress,Alpha-Lattice,L10WS-12,91,2,22,8,Entry,2852.9,,
9614,2010,WS,Stress,Alpha-Lattice,L10WS-12,123,3,22,5,Entry,2852.9,,
10101,2011,DS,Stress,Alpha-Lattice,L11DS-15,24,1,17,5,Entry,2157.5,,
10102,2011,DS,Stress,Alpha-Lattice,L11DS-15,51,2,17,1,Entry,1685.8,,
10103,2011,DS,Stress,Alpha-Lattice,L11DS-15,129,3,17,6,Entry,1543.7,,
10857,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,33,1,11,7,Entry,2495.5,,
10858,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,86,2,11,3,Entry,127.83,,
10859,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,154,3,11,1,Entry,2378.17,,
8715,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,74,1,21,15,Entry,6538.7,,
8716,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,169,2,21,17,Entry,5658.2,,
8717,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,232,3,21,13,Entry,6277.9,,
8970,2010,DS,Stress,Alpha-Lattice,L10DS-17,53,1,21,11,Entry,2660.8,,
8971,2010,DS,Stress,Alpha-Lattice,L10DS-17,133,2,21,10,Entry,1801.5,,
8972,2010,DS,Stress,Alpha-Lattice,L10DS-17,210,3,21,8,Entry,3431.1,,
9438,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,24,1,12,4,Entry,5598.7,,
9439,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,61,2,12,3,Entry,5207.3,,
9440,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,136,3,12,7,Entry,4920.8,,
9582,2010,WS,Stress,Alpha-Lattice,L10WS-12,39,1,12,7,Entry,2147.1,,
9583,2010,WS,Stress,Alpha-Lattice,L10WS-12,89,2,12,7,Entry,1470.6,,
9584,2010,WS,Stress,Alpha-Lattice,L10WS-12,136,3,12,7,Entry,2058.8,,
10074,2011,DS,Stress,Alpha-Lattice,L11DS-15,29,1,8,6,Entry,618.6,,
10075,2011,DS,Stress,Alpha-Lattice,L11DS-15,94,2,8,9,Entry,796.8,,
10076,2011,DS,Stress,Alpha-Lattice,L11DS-15,118,3,8,4,Entry,902.8,,
8718,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,14,1,22,3,Entry,5482.9,,
8719,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,134,2,22,10,Entry,4177.2,,
8720,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,227,3,22,12,Entry,5717.1,,
8973,2010,DS,Stress,Alpha-Lattice,L10DS-17,3,1,22,1,Entry,1683.5,,
8974,2010,DS,Stress,Alpha-Lattice,L10DS-17,140,2,22,11,Entry,1883.3,,
8975,2010,DS,Stress,Alpha-Lattice,L10DS-17,224,3,22,11,Entry,1967.6,,
8724,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,83,1,24,17,Entry,6143.9,,
8725,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,136,2,24,11,Entry,5367.6,,
8726,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,243,3,24,15,Entry,6099,,
8979,2010,DS,Stress,Alpha-Lattice,L10DS-17,7,1,24,2,Entry,1280.9,,
8980,2010,DS,Stress,Alpha-Lattice,L10DS-17,155,2,24,14,Entry,2751.7,,
8981,2010,DS,Stress,Alpha-Lattice,L10DS-17,249,3,24,16,Entry,2347.6,,
8727,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,80,1,25,16,Entry,6396.1,,
8728,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,113,2,25,6,Entry,4613.4,,
8729,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,171,3,25,1,Entry,6167.2,,
8982,2010,DS,Stress,Alpha-Lattice,L10DS-17,77,1,25,16,Entry,1496.9,,
8983,2010,DS,Stress,Alpha-Lattice,L10DS-17,135,2,25,10,Entry,1655.2,,
8984,2010,DS,Stress,Alpha-Lattice,L10DS-17,183,3,25,3,Entry,2067,,
8730,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,40,1,26,8,Entry,7516.3,,
8731,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,116,2,26,7,Entry,6804.1,,
8732,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,255,3,26,17,Entry,7492.5,,
8985,2010,DS,Stress,Alpha-Lattice,L10DS-17,40,1,26,8,Entry,2049.1,,
8986,2010,DS,Stress,Alpha-Lattice,L10DS-17,132,2,26,10,Entry,2227,,
8987,2010,DS,Stress,Alpha-Lattice,L10DS-17,222,3,26,11,Entry,2203.7,,
9405,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,11,1,1,2,Entry,5014.7,,
9406,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,75,2,1,5,Entry,5353.1,,
9407,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,135,3,1,7,Entry,5286.3,,
9549,2010,WS,Stress,Alpha-Lattice,L10WS-12,20,1,1,4,Entry,3029.4,,
9550,2010,WS,Stress,Alpha-Lattice,L10WS-12,75,2,1,5,Entry,3205.9,,
9551,2010,WS,Stress,Alpha-Lattice,L10WS-12,138,3,1,7,Entry,4029.4,,
10053,2011,DS,Stress,Alpha-Lattice,L11DS-15,41,1,1,9,Entry,630.8,,
10054,2011,DS,Stress,Alpha-Lattice,L11DS-15,58,2,1,2,Entry,1125.5,,
10055,2011,DS,Stress,Alpha-Lattice,L11DS-15,132,3,1,7,Entry,360.2,,
8736,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,46,1,28,10,Entry,5945.9,,
8737,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,90,2,28,1,Entry,5625.2,,
8738,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,235,3,28,13,Entry,6658.3,,
8991,2010,DS,Stress,Alpha-Lattice,L10DS-17,9,1,28,2,Entry,1614.9,,
8992,2010,DS,Stress,Alpha-Lattice,L10DS-17,98,2,28,3,Entry,2561.8,,
8993,2010,DS,Stress,Alpha-Lattice,L10DS-17,182,3,28,3,Entry,2415.7,,
8739,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,38,1,29,8,Entry,7114.2,,
8740,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,102,2,29,4,Entry,5847.4,,
8741,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,219,3,29,10,Entry,7585.8,,
8994,2010,DS,Stress,Alpha-Lattice,L10DS-17,17,1,29,4,Entry,3237.2,,
8995,2010,DS,Stress,Alpha-Lattice,L10DS-17,107,2,29,5,Entry,4319.3,,
8996,2010,DS,Stress,Alpha-Lattice,L10DS-17,204,3,29,7,Entry,2060.5,,
9408,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,5,1,2,1,Entry,5003.4,,
9409,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,95,2,2,8,Entry,4987.7,,
9410,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,101,3,2,1,Entry,8394.3,,
9552,2010,WS,Stress,Alpha-Lattice,L10WS-12,30,1,2,5,Entry,2617.6,,
9553,2010,WS,Stress,Alpha-Lattice,L10WS-12,83,2,2,6,Entry,3794.1,,
9554,2010,WS,Stress,Alpha-Lattice,L10WS-12,133,3,2,7,Entry,3147.1,,
10056,2011,DS,Stress,Alpha-Lattice,L11DS-15,11,1,2,3,Entry,2817.8,,
10057,2011,DS,Stress,Alpha-Lattice,L11DS-15,71,2,2,5,Entry,887.8,,
10058,2011,DS,Stress,Alpha-Lattice,L11DS-15,116,3,2,4,Entry,931.8,,
10827,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,8,1,1,2,Entry,2247.33,,
10828,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,105,2,1,6,Entry,2997.5,,
10829,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,201,3,1,11,Entry,2441.67,,
11052,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,72,1,1,15,Entry,7258.8,,
11053,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,158,2,1,4,Entry,5248.3,,
11054,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,358,3,1,16,Entry,4406,,
11472,2012,DS,Stress,Alpha-Lattice,L12DS-13,10,1,1,2,Entry,2317.1,,
11473,2012,DS,Stress,Alpha-Lattice,L12DS-13,221,2,1,17,Entry,936.7,,
11474,2012,DS,Stress,Alpha-Lattice,L12DS-13,417,3,1,28,Entry,1065.5,,
13203,2013,DS,Stress,Augmented-RCBD,L13DS-14B,29,1,1,2,Entry,3402.6,,
8745,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,62,1,31,13,Entry,6319.7,,
8746,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,121,2,31,8,Entry,6123.5,,
8747,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,197,3,31,6,Entry,6086.9,,
9000,2010,DS,Stress,Alpha-Lattice,L10DS-17,56,1,31,12,Entry,2578.3,,
9001,2010,DS,Stress,Alpha-Lattice,L10DS-17,169,2,31,17,Entry,2662.8,,
9002,2010,DS,Stress,Alpha-Lattice,L10DS-17,181,3,31,3,Entry,2778,,
9420,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,6,1,6,1,Entry,6091.3,,
9421,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,52,2,6,1,Entry,5642.2,,
9422,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,111,3,6,3,Entry,6537.1,,
9564,2010,WS,Stress,Alpha-Lattice,L10WS-12,43,1,6,8,Entry,3794.1,,
9565,2010,WS,Stress,Alpha-Lattice,L10WS-12,74,2,6,5,Entry,3205.9,,
9566,2010,WS,Stress,Alpha-Lattice,L10WS-12,130,3,6,6,Entry,3794.1,,
10065,2011,DS,Stress,Alpha-Lattice,L11DS-15,42,1,5,9,Entry,963.5,,
10066,2011,DS,Stress,Alpha-Lattice,L11DS-15,67,2,5,4,Entry,1598.8,,
10067,2011,DS,Stress,Alpha-Lattice,L11DS-15,143,3,5,9,Entry,741.3,,
10836,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,66,1,4,14,Entry,3147.33,,
10837,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,147,2,4,15,Entry,2702,,
10838,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,224,3,4,15,Entry,1578.33,,
11061,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,50,1,4,10,Entry,6553.5,,
11062,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,251,2,4,23,Entry,5356.1,,
11063,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,335,3,4,11,Entry,4837.8,,
11481,2012,DS,Stress,Alpha-Lattice,L12DS-13,43,1,4,9,Entry,1715.8,,
11482,2012,DS,Stress,Alpha-Lattice,L12DS-13,195,2,4,11,Entry,1101.4,,
11483,2012,DS,Stress,Alpha-Lattice,L12DS-13,287,3,4,2,Entry,1045,,
13205,2013,DS,Stress,Augmented-RCBD,L13DS-14B,20,1,3,1,Entry,2597.5,,
8748,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,79,1,32,16,Entry,8356.9,,
8749,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,97,2,32,3,Entry,5560.2,,
8750,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,251,3,32,17,Entry,6051.3,,
9003,2010,DS,Stress,Alpha-Lattice,L10DS-17,12,1,32,3,Entry,1984.7,,
9004,2010,DS,Stress,Alpha-Lattice,L10DS-17,158,2,32,15,Entry,2591.7,,
9005,2010,DS,Stress,Alpha-Lattice,L10DS-17,238,3,32,14,Entry,2926.5,,
9411,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,17,1,3,3,Entry,5046.4,,
9412,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,72,2,3,4,Entry,6186.2,,
9413,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,127,3,3,6,Entry,5670.5,,
9555,2010,WS,Stress,Alpha-Lattice,L10WS-12,24,1,3,4,Entry,3058.8,,
9556,2010,WS,Stress,Alpha-Lattice,L10WS-12,80,2,3,6,Entry,2941.2,,
9557,2010,WS,Stress,Alpha-Lattice,L10WS-12,107,3,3,2,Entry,3647.1,,
10059,2011,DS,Stress,Alpha-Lattice,L11DS-15,32,1,3,7,Entry,1100.7,,
10060,2011,DS,Stress,Alpha-Lattice,L11DS-15,54,2,3,1,Entry,1367.4,,
10061,2011,DS,Stress,Alpha-Lattice,L11DS-15,120,3,3,4,Entry,345.5,,
10830,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,16,1,2,4,Entry,1419.5,,
10831,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,129,2,2,11,Entry,896.83,,
10832,2011,WS,Non-Stress,Alpha-Lattice,L11WS-14,214,3,2,13,Entry,1064,,
11055,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,2,1,2,1,Entry,5560.1,,
11056,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,205,2,2,13,Entry,5079.5,,
11057,2012,DS,Non-Stress,Alpha-Lattice,L12DS-12,378,3,2,20,Entry,6986,,
11475,2012,DS,Stress,Alpha-Lattice,L12DS-13,18,1,2,4,Entry,2535,,
11476,2012,DS,Stress,Alpha-Lattice,L12DS-13,180,2,2,8,Entry,1109.2,,
11477,2012,DS,Stress,Alpha-Lattice,L12DS-13,337,3,2,12,Entry,906,,
8751,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,51,1,33,11,Entry,4251.8,,
8752,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,168,2,33,17,Entry,6522.9,,
8753,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,203,3,33,7,Entry,6331.6,,
9006,2010,DS,Stress,Alpha-Lattice,L10DS-17,31,1,33,7,Entry,983.1,,
9007,2010,DS,Stress,Alpha-Lattice,L10DS-17,145,2,33,12,Entry,1896.2,,
9008,2010,DS,Stress,Alpha-Lattice,L10DS-17,213,3,33,9,Entry,2236.3,,
8757,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,53,1,35,11,Entry,4409.4,,
8758,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,124,2,35,8,Entry,5136.2,,
8759,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,244,3,35,15,Entry,6154.8,,
9012,2010,DS,Stress,Alpha-Lattice,L10DS-17,71,1,35,15,Entry,1445.2,,
9013,2010,DS,Stress,Alpha-Lattice,L10DS-17,154,2,35,14,Entry,2328.9,,
9014,2010,DS,Stress,Alpha-Lattice,L10DS-17,254,3,35,17,Entry,2474.5,,
8760,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,10,1,36,2,Entry,4303.4,,
8761,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,115,2,36,6,Entry,5028.3,,
8762,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,211,3,36,9,Entry,6349.3,,
9015,2010,DS,Stress,Alpha-Lattice,L10DS-17,59,1,36,12,Entry,2295.4,,
9016,2010,DS,Stress,Alpha-Lattice,L10DS-17,148,2,36,13,Entry,2424.3,,
9017,2010,DS,Stress,Alpha-Lattice,L10DS-17,193,3,36,5,Entry,3191,,
8763,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,1,1,37,1,Entry,5631.5,,
8764,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,105,2,37,4,Entry,6005.5,,
8765,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,182,3,37,3,Entry,5656.2,,
9018,2010,DS,Stress,Alpha-Lattice,L10DS-17,36,1,37,8,Entry,1825.9,,
9019,2010,DS,Stress,Alpha-Lattice,L10DS-17,149,2,37,13,Entry,2724.1,,
9020,2010,DS,Stress,Alpha-Lattice,L10DS-17,218,3,37,10,Entry,3604.6,,
8766,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,9,1,38,2,Entry,5306.1,,
8767,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,94,2,38,2,Entry,6098.1,,
8768,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,230,3,38,12,Entry,6453.1,,
9021,2010,DS,Stress,Alpha-Lattice,L10DS-17,41,1,38,9,Entry,1832.2,,
9022,2010,DS,Stress,Alpha-Lattice,L10DS-17,153,2,38,14,Entry,3216.5,,
9023,2010,DS,Stress,Alpha-Lattice,L10DS-17,196,3,38,6,Entry,2188.9,,
9432,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,38,1,10,7,Entry,5492.7,,
9433,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,82,2,10,6,Entry,6519.1,,
9434,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,138,3,10,7,Entry,5294.4,,
9576,2010,WS,Stress,Alpha-Lattice,L10WS-12,32,1,10,6,Entry,1352.9,,
9577,2010,WS,Stress,Alpha-Lattice,L10WS-12,73,2,10,5,Entry,1852.9,,
9578,2010,WS,Stress,Alpha-Lattice,L10WS-12,104,3,10,2,Entry,2117.6,,
8775,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,45,1,41,9,Entry,5307.6,,
8776,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,118,2,41,7,Entry,4852.4,,
8777,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,214,3,41,9,Entry,6192.1,,
9030,2010,DS,Stress,Alpha-Lattice,L10DS-17,27,1,41,6,Entry,1448.8,,
9031,2010,DS,Stress,Alpha-Lattice,L10DS-17,151,2,41,14,Entry,1797.7,,
9032,2010,DS,Stress,Alpha-Lattice,L10DS-17,171,3,41,1,Entry,2648.8,,
8778,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,84,1,42,17,Entry,5887.6,,
8779,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,98,2,42,3,Entry,6047.2,,
8780,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,206,3,42,8,Entry,5549.1,,
9033,2010,DS,Stress,Alpha-Lattice,L10DS-17,79,1,42,16,Entry,1695,,
9034,2010,DS,Stress,Alpha-Lattice,L10DS-17,150,2,42,13,Entry,2694.9,,
9035,2010,DS,Stress,Alpha-Lattice,L10DS-17,176,3,42,2,Entry,2862.8,,
8784,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,2,1,44,1,Entry,5006.4,,
8785,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,143,2,44,12,Entry,5498.9,,
8786,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,194,3,44,5,Entry,5433.2,,
9039,2010,DS,Stress,Alpha-Lattice,L10DS-17,45,1,44,9,Entry,2134,,
9040,2010,DS,Stress,Alpha-Lattice,L10DS-17,136,2,44,11,Entry,1782.6,,
9041,2010,DS,Stress,Alpha-Lattice,L10DS-17,190,3,44,4,Entry,2667.6,,
8787,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,27,1,45,6,Entry,6815.1,,
8788,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,125,2,45,8,Entry,6464.3,,
8789,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,253,3,45,17,Entry,6622.7,,
9042,2010,DS,Stress,Alpha-Lattice,L10DS-17,23,1,45,5,Entry,2086.1,,
9043,2010,DS,Stress,Alpha-Lattice,L10DS-17,156,2,45,15,Entry,2744.4,,
9044,2010,DS,Stress,Alpha-Lattice,L10DS-17,245,3,45,15,Entry,2736.9,,
9477,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,10,1,25,2,Entry,6295.4,,
9478,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,86,2,25,7,Entry,5953.3,,
9479,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,113,3,25,3,Entry,6689.8,,
9621,2010,WS,Stress,Alpha-Lattice,L10WS-12,8,1,25,2,Entry,2617.6,,
9622,2010,WS,Stress,Alpha-Lattice,L10WS-12,63,2,25,3,Entry,2382.4,,
9623,2010,WS,Stress,Alpha-Lattice,L10WS-12,142,3,25,8,Entry,3147.1,,
10110,2011,DS,Stress,Alpha-Lattice,L11DS-15,26,1,20,6,Entry,662.6,,
10111,2011,DS,Stress,Alpha-Lattice,L11DS-15,55,2,20,1,Entry,664.8,,
10112,2011,DS,Stress,Alpha-Lattice,L11DS-15,138,3,20,8,Entry,525.3,,
9168,2010,DS,Non-Stress,Alpha-Lattice,L10DS-18,35,1,2,4,Entry,4964.3,,
9169,2010,DS,Non-Stress,Alpha-Lattice,L10DS-18,73,2,2,4,Entry,5645.8,,
9170,2010,DS,Non-Stress,Alpha-Lattice,L10DS-18,94,3,2,2,Entry,5881.1,,
9288,2010,DS,Stress,Alpha-Lattice,L10DS-19,27,1,2,3,Entry,1840.1,,
9289,2010,DS,Stress,Alpha-Lattice,L10DS-19,58,2,2,2,Entry,2246.6,,
9290,2010,DS,Stress,Alpha-Lattice,L10DS-19,119,3,2,4,Entry,962.2,,
9753,2010,WS,Non-Stress,Alpha-Lattice,L10WS-13,5,1,21,2,Entry,5881.5,,
9754,2010,WS,Non-Stress,Alpha-Lattice,L10WS-13,43,2,21,1,Entry,5733.6,,
9755,2010,WS,Non-Stress,Alpha-Lattice,L10WS-13,120,3,21,10,Entry,6531.6,,
9873,2010,WS,Stress,Alpha-Lattice,L10WS-14,32,1,21,8,Entry,2588.2,,
9874,2010,WS,Stress,Alpha-Lattice,L10WS-14,66,2,21,7,Entry,3011.8,,
9875,2010,WS,Stress,Alpha-Lattice,L10WS-14,107,3,21,7,Entry,3294.1,,
9993,2011,DS,Non-Stress,Alpha-Lattice,L11DS-14,32,1,21,8,Entry,2588.2,,
9994,2011,DS,Non-Stress,Alpha-Lattice,L11DS-14,66,2,21,7,Entry,3011.8,,
9995,2011,DS,Non-Stress,Alpha-Lattice,L11DS-14,107,3,21,7,Entry,3294.1,,
10239,2011,DS,Non-Stress,Alpha-Lattice,L11DS-16,10,1,13,3,Entry,7421.3,,
10240,2011,DS,Non-Stress,Alpha-Lattice,L11DS-16,47,2,13,4,Entry,4883.7,,
10241,2011,DS,Non-Stress,Alpha-Lattice,L11DS-16,86,3,13,6,Entry,8377.5,,
10335,2011,DS,Stress,Alpha-Lattice,L11DS-17,13,1,13,4,Entry,564.3,,
10336,2011,DS,Stress,Alpha-Lattice,L11DS-17,47,2,13,4,Entry,709.5,,
10337,2011,DS,Stress,Alpha-Lattice,L11DS-17,88,3,13,6,Entry,1290.8,,
10425,2011,WS,Non-Stress,Alpha-Lattice,L11WS-12,129,1,11,17,Entry,3552.3,,
10426,2011,WS,Non-Stress,Alpha-Lattice,L11WS-12,205,2,11,8,Entry,4200.2,,
10427,2011,WS,Non-Stress,Alpha-Lattice,L11WS-12,388,3,11,13,Entry,4416.1,,
11904,2012,DS,Non-Stress,Alpha-Lattice,L12DS-14,32,1,5,7,Entry,5965,,
11905,2012,DS,Non-Stress,Alpha-Lattice,L12DS-14,188,2,5,19,Entry,4917,,
11906,2012,DS,Non-Stress,Alpha-Lattice,L12DS-14,200,3,5,2,Entry,5703.6,,
12189,2012,DS,Stress,Alpha-Lattice,L12DS-15,24,1,5,5,Entry,4394.6,,
